city,state_name,lat,lng
Navajo Dam,New Mexico,36.7981,-107.7045
Gascon,New Mexico,35.8867,-105.4461
Taos Ski Valley,New Mexico,36.5908,-105.4374
Crownpoint,New Mexico,35.6880,-108.1494
Playas,New Mexico,31.9126,-108.5364
Tse Bonito,New Mexico,35.6525,-109.0361
Pleasant Hill,New Mexico,34.5204,-103.0738
Bayard,New Mexico,32.7584,-108.1337
Pueblo of Sandia Village,New Mexico,35.2536,-106.5706
Alameda,New Mexico,35.1867,-106.6181
Virden,New Mexico,32.6889,-109.0016
Hondo,New Mexico,33.3876,-105.2708
Timberon,New Mexico,32.6359,-105.6924
Moquino,New Mexico,35.1801,-107.3701
Encinal,New Mexico,35.1308,-107.4368
Seboyeta,New Mexico,35.2241,-107.4049
La Cueva,New Mexico,35.8695,-106.6485
Chimayo,New Mexico,35.9976,-105.9363
Jacona,New Mexico,35.8887,-106.0386
Tajique,New Mexico,34.7600,-106.3010
Sabinal,New Mexico,34.4937,-106.8075
Questa,New Mexico,36.7114,-105.5936
Organ,New Mexico,32.4251,-106.6024
White Signal,New Mexico,32.5724,-108.3512
El Vado,New Mexico,36.5939,-106.7286
Los Trujillos,New Mexico,34.6467,-106.7609
La Huerta,New Mexico,32.4490,-104.2231
Tome,New Mexico,34.7397,-106.7230
Moriarty,New Mexico,35.0064,-106.0482
Jemez Springs,New Mexico,35.7735,-106.6907
Ojo Amarillo,New Mexico,36.6942,-108.3704
Ca__on,New Mexico,35.6718,-106.7527
Correo,New Mexico,34.9550,-107.1848
Sombrillo,New Mexico,35.9802,-106.0353
Vadito,New Mexico,36.1929,-105.6754
Santa Ana Pueblo,New Mexico,35.3495,-106.5202
San Fidel,New Mexico,35.1025,-107.5975
Ojo Feliz,New Mexico,36.0578,-105.1183
McIntosh,New Mexico,34.8804,-106.0577
Alcalde,New Mexico,36.0854,-106.0575
Sunland Park,New Mexico,31.8187,-106.5932
Newcomb,New Mexico,36.2834,-108.7081
San Rafael,New Mexico,35.0878,-107.8895
San Mateo,New Mexico,35.3321,-107.6469
Raton,New Mexico,36.8849,-104.4396
Chamisal,New Mexico,36.1725,-105.7459
Mayhill,New Mexico,32.8962,-105.4960
Arroyo Seco,New Mexico,36.5215,-105.5860
Sherman,New Mexico,32.7467,-107.8864
Nambe,New Mexico,35.8984,-105.9667
